Uref,UdAvg,Ct,Cp
3,2.39026,0.7782483212067278,0.5809633540520401
4,3.18702,0.7783158811470118,0.5810050296545034
5,3.98382,0.7797570083254242,0.5819224736392703
6,4.78058,0.7798726694883329,0.5819969089931272
7,5.57735,0.779995367410479,0.5820748707573025
8,6.37411,0.7797819682226085,0.5819389799057033
9,7.16917,0.7804905797541871,0.5823363083641365
10,7.96594,0.780559653150289,0.5823862530796734
11,8.76272,0.7806484631765473,0.5824470754097628
11.4,9.08041,0.7809380301241569,0.5826075670372606
12,10.0331,0.567875396306856,0.46664702494787647
13,11.2144,0.41373819987649374,0.35344392966676685
14,12.3111,0.31999707168620206,0.2781555850820824
15,13.3679,0.25747775206619966,0.22550677585688503
16,14.4089,0.21072853523830784,0.18497368067287126
17,15.4373,0.17571948845668717,0.15401094325385536
